Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;54;62;74;54;54
1;49;55;64;59;54
2;54;59;69;56;54
3;51;58;66;66;54
4;56;64;76;63;54
5;58;62;73;66;54
6;56;64;76;56;54
7;51;58;66;59;54
8;54;59;69;54;54
9;49;55;64;58;54
10;53;58;68;53;53
11;49;54;63;56;53
12;46;56;66;53;53
13;49;54;63;58;53
14;52;57;68;53;53
15;49;54;63;58;53
16;53;58;68;55;53
17;50;56;65;50;50
18;50;53;60;60;50
19;50;60;65;61;50
20;51;61;66;51;50
21;50;53;61;51;50
22;50;53;61;50;50
23;50;53;60;50;50
24;49;53;60;49;49
25;50;53;59;50;49
26;49;53;60;49;49
27;50;53;59;53;49
28;49;54;63;56;49
29;48;56;66;48;48
30;47;52;58;56;48
31;48;56;66;53;48
32;49;54;63;52;48
33;49;53;62;50;48
34;49;53;60;53;48
35;49;54;63;56;48
36;53;57;66;54;48
37;49;54;64;56;48
38;53;57;66;53;48
39;50;55;63;52;48
40;49;54;62;51;48
41;48;54;61;48;48
42;47;52;58;47;47
43;48;51;57;50;47
44;47;53;60;47;47
45;48;51;57;52;47
46;47;54;62;55;47
47;50;56;65;58;47
48;52;57;68;55;47
49;50;56;65;55;47
50;52;55;65;55;47
51;50;56;65;55;47
52;50;56;65;55;47
53;50;56;65;50;47
54;47;53;60;55;47
55;50;56;65;50;47
56;47;53;60;47;47
57;48;51;57;50;47
58;47;53;60;47;47
59;48;51;57;48;47
60;47;52;58;51;47
61;48;53;61;54;47
62;48;55;64;48;47
63;47;51;58;49;47
64;46;51;59;52;47
65;49;53;62;49;47
66;46;51;59;53;47
67;49;54;63;49;47
68;46;51;59;46;46
69;47;51;56;47;46
70;46;51;57;48;46
71;47;51;58;49;46
72;46;51;59;52;46
73;49;54;62;52;46
74;51;54;62;53;46
75;49;54;63;49;46
76;46;51;59;52;46
77;49;54;62;49;46
78;46;51;59;46;46
79;47;51;56;47;46
80;46;51;57;48;46
81;47;51;58;58;46
82;48;58;68;55;46
83;47;55;65;47;46
84;46;51;57;46;46
85;47;51;56;49;46
86;46;51;59;50;46
87;47;52;60;47;46
88;46;51;57;46;46
89;47;51;56;49;46
90;46;51;59;46;46
91;47;51;56;49;46
92;46;51;59;46;46
93;47;51;56;49;46
94;46;51;59;46;46
95;47;51;56;49;46
96;46;51;59;59;46
97;49;59;69;49;46
98;46;51;59;54;46
99;49;55;64;49;46
