Numer iteracji;Najlepszy;Wybrany
0;53;53
1;50;50
2;47;47
3;46;46
4;47;51
5;46;46
6;47;49
7;46;46
8;47;47
9;46;46
10;47;49
11;46;46
12;47;47
13;46;46
14;47;47
15;46;46
16;47;47
17;46;46
18;47;47
19;46;50
20;47;47
21;46;46
22;47;47
23;46;48
24;47;47
25;46;46
26;47;49
27;46;50
28;47;47
29;46;46
30;47;56
31;46;59
32;49;56
33;46;46
34;47;47
35;46;50
36;47;47
37;46;46
38;47;47
39;46;46
40;47;47
41;46;46
42;47;47
43;46;50
44;47;53
45;50;50
46;47;60
47;50;50
48;47;47
49;46;46
50;47;47
51;46;57
52;47;60
53;50;50
54;47;47
55;46;48
56;47;47
57;46;57
58;47;60
59;50;50
60;47;49
61;46;46
62;47;47
63;46;46
64;47;47
65;46;46
66;47;49
67;46;46
68;47;47
69;46;46
70;47;47
71;46;57
72;47;60
73;50;50
74;47;47
75;46;46
76;47;49
77;46;46
78;47;47
79;46;55
80;47;47
81;46;46
82;47;47
83;46;48
84;47;47
85;46;46
86;47;47
87;46;46
88;47;49
89;46;48
90;47;53
91;48;50
92;47;53
93;48;50
94;47;47
95;46;48
96;47;49
97;46;53
98;49;56
99;53;66
