Numer iteracji;Najlepszy;Wybrany;Ogolnie najlepszy
0;50;50;50
1;51;51;50
2;50;50;50
3;51;51;50
4;50;50;50
5;51;51;50
6;50;50;50
7;51;51;50
8;50;50;50
9;51;51;50
10;50;50;50
11;51;51;50
12;50;50;50
13;51;51;50
14;50;50;50
15;51;51;50
16;50;50;50
17;51;51;50
18;50;50;50
19;51;51;50
20;50;50;50
21;51;51;50
22;50;50;50
23;51;51;50
24;50;50;50
25;51;51;50
26;50;50;50
27;51;51;50
28;50;50;50
29;51;51;50
30;50;50;50
31;51;51;50
32;50;50;50
33;51;51;50
34;50;50;50
35;51;51;50
36;50;50;50
37;51;51;50
38;50;50;50
39;51;51;50
40;50;50;50
41;51;51;50
42;50;50;50
43;51;51;50
44;50;50;50
45;51;51;50
46;50;50;50
47;51;51;50
48;50;50;50
49;51;51;50
50;50;50;50
51;51;51;50
52;50;50;50
53;51;51;50
54;50;50;50
55;51;51;50
56;50;50;50
57;51;51;50
58;50;52;50
59;50;50;50
60;47;47;47
61;46;46;46
62;47;47;46
63;46;46;46
64;47;47;46
65;46;46;46
66;47;47;46
67;46;46;46
68;47;47;46
69;46;46;46
70;47;47;46
71;46;46;46
72;47;47;46
73;46;46;46
74;47;47;46
75;46;46;46
76;47;47;46
77;46;46;46
78;47;47;46
79;46;46;46
80;47;47;46
81;46;46;46
82;47;47;46
83;46;46;46
84;47;47;46
85;46;46;46
86;47;47;46
87;46;46;46
88;47;47;46
89;46;46;46
90;47;47;46
91;46;46;46
92;47;47;46
93;46;46;46
94;47;47;46
95;46;46;46
96;47;47;46
97;46;46;46
98;47;47;46
99;46;46;46
