parametr prawdopodobienstwa;srednia;wariancja;min;dolny kwartyl;mediana;gorny kwartyl;max;moda;moda procent;procent poprawnych;sredni czas;;;;;;;;;;;;;;;;
0.1;21,813;454,781;0;7;15;29;100;4;5,4;98,5;46,016;;;;;;;;;;;;;;;;
0.2;13,55;172,434;0;4;9;19;82;3;6,2;100;46;;;;;;;;;;;;;;;;
0.5;7,095;80,985;0;3;4;8;80;3;15,2;100;46;;;;;;;;;;;;;;;;
0.8;8,765;268,376;0;2;4;7;100;3;18;99;46,01;;;;;;;;;;;;;;;;
1.0;10,234;468,444;0;2;3,5;5;100;3;20,9;96,5;46,041;;;;;;;;;;;;;;;;
1.5;16,896;1067,881;0;2;3;5;100;3;23,2;87,7;46,156;;;;;;;;;;;;;;;;
2.0;16,625;1116,619;0;2;3;4;100;3;25,3;86,7;46,185;;;;;;;;;;;;;;;;
5.0;17,341;1193,436;0;2;3;4;100;3;24,3;85,4;46,242;;;;;;;;;;;;;;;;
8.0;18,643;1292,1;0;2;3;4;100;3;26,7;83,7;46,324;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;?;œrednia;wariancja;min;Q1;mediana;Q3;max;moda;moda (%);najlepsze (%);œredni czas szeregowania
;;;;;;;;;;;;;;;;0.1;21,813;454,781;0;7;15;29;100;4;5,4;98,5;46,016
;;;;;;;;;;;;;;;;0.2;13,55;172,434;0;4;9;19;82;3;6,2;100;46
;;;;;;;;;;;;;;;;0.5;7,095;80,985;0;3;4;8;80;3;15,2;100;46
;;;;;;;;;;;;;;;;0.8;8,765;268,376;0;2;4;7;100;3;18;99;46,01
;;;;;;;;;;;;;;;;1.0;10,234;468,444;0;2;3,5;5;100;3;20,9;96,5;46,041
;;;;;;;;;;;;;;;;1.5;16,896;1067,881;0;2;3;5;100;3;23,2;87,7;46,156
;;;;;;;;;;;;;;;;2.0;16,625;1116,619;0;2;3;4;100;3;25,3;86,7;46,185
;;;;;;;;;;;;;;;;5.0;17,341;1193,436;0;2;3;4;100;3;24,3;85,4;46,242
;;;;;;;;;;;;;;;;8.0;18,643;1292,1;0;2;3;4;100;3;26,7;83,7;46,324
