Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;13
1;26
2;39
3;48
4;35
5;46
6;49
7;54
8;45
9;44
10;33
11;38
12;42
13;34
14;20
15;30
16;34
17;27
18;20
19;22
20;19
21;20
22;18
23;14
24;19
25;19
26;15
27;13
28;10
29;7
30;11
31;10
32;6
33;12
34;10
35;10
36;8
37;6
38;7
39;6
40;3
41;6
42;4
43;6
44;5
45;4
46;5
47;0
48;2
49;2
50;3
51;1
52;1
53;3
54;1
55;2
56;1
57;0
58;1
59;2
60;1
61;0
62;0
63;0
64;3
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;1
74;0
75;1
76;0
77;0
78;0
79;0
80;0
81;1
82;0
83;0
84;0
85;0
86;0
87;0
88;1
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
