Numer iteracji;Najlepszy;Sredni;Najgorszy
0;80;100;125
1;80;97;120
2;80;96;116
3;80;95;112
4;80;93;108
5;80;91;104
6;80;89;100
7;80;88;96
8;80;86;92
9;80;85;92
10;80;84;89
11;80;86;93
12;80;84;89
13;80;84;89
14;80;84;88
15;80;85;90
16;80;85;92
17;80;84;89
18;80;84;88
19;80;85;89
20;80;84;89
21;80;85;89
22;80;84;89
23;80;85;90
24;80;85;89
25;80;84;89
26;80;85;89
27;80;84;89
28;80;84;88
29;80;84;89
30;80;84;89
31;80;84;89
32;80;87;97
33;80;85;92
34;80;85;89
35;80;85;90
36;80;84;89
37;80;84;88
38;80;85;89
39;80;85;90
40;80;84;89
41;80;84;88
42;80;86;94
43;80;85;89
44;80;85;89
45;80;84;89
46;80;85;89
47;80;85;89
48;80;84;88
49;80;84;88
50;80;84;88
51;80;84;89
52;80;84;88
53;80;84;89
54;80;86;93
55;80;85;89
56;80;85;89
57;80;84;89
58;80;85;89
59;80;85;89
60;80;84;88
61;80;84;88
62;80;86;92
63;80;85;90
64;80;84;88
65;80;85;89
66;80;85;89
67;80;84;88
68;80;85;89
69;80;85;89
70;80;85;92
71;80;84;89
72;80;85;90
73;80;84;88
74;80;84;89
75;80;84;88
76;80;85;89
77;80;84;89
78;80;84;89
79;80;86;93
80;80;85;89
81;80;85;90
82;80;85;92
83;80;85;90
84;80;84;89
85;80;84;88
86;80;84;89
87;80;85;89
88;80;85;89
89;80;84;88
90;80;86;92
91;80;85;89
92;80;84;89
93;80;84;89
94;80;85;92
95;80;84;89
96;80;87;94
97;80;85;90
98;80;85;89
99;80;84;88
100;80;85;89
