Numer iteracji;Liczba iteracji;Wynik
0;100;81
1;2;80
2;6;80
3;5;80
4;100;81
5;100;81
6;100;81
7;1;80
8;100;81
9;4;80
10;100;81
11;8;80
12;100;81
13;100;81
14;4;80
15;4;80
16;7;80
17;3;80
18;8;80
19;100;81
20;5;80
21;4;80
22;4;80
23;100;81
24;100;81
25;100;81
26;100;81
27;100;81
28;3;80
29;100;81
30;2;80
31;3;80
32;100;81
33;6;80
34;39;80
35;3;80
36;3;80
37;0;80
38;6;80
39;2;80
40;7;80
41;100;81
42;2;80
43;100;81
44;3;80
45;6;80
46;3;80
47;3;80
48;100;81
49;2;80
50;5;80
51;2;80
52;4;80
53;100;81
54;2;80
55;3;80
56;100;81
57;25;80
58;5;80
59;2;80
60;100;81
61;6;80
62;7;80
63;100;81
64;6;80
65;2;80
66;100;81
67;6;80
68;3;80
69;100;81
70;100;81
71;4;80
72;100;81
73;100;81
74;6;80
75;100;81
76;100;81
77;3;80
78;100;81
79;100;81
80;4;80
81;3;80
82;2;80
83;1;80
84;100;81
85;1;80
86;7;80
87;3;80
88;3;80
89;4;80
90;6;80
91;2;80
92;4;80
93;100;81
94;100;81
95;2;80
96;100;81
97;1;80
98;100;81
99;100;81
100;2;80
101;100;81
102;1;80
103;4;80
104;3;80
105;3;80
106;3;80
107;100;81
108;7;80
109;100;81
110;2;80
111;2;80
112;10;80
113;1;80
114;100;81
115;100;81
116;4;80
117;1;80
118;2;80
119;100;81
120;2;80
121;5;80
122;7;80
123;100;82
124;100;81
125;4;80
126;7;80
127;2;80
128;4;80
129;4;80
130;100;81
131;2;80
132;60;80
133;61;80
134;4;80
135;5;80
136;6;80
137;0;80
138;7;80
139;100;81
140;0;80
141;3;80
142;3;80
143;8;80
144;5;80
145;100;81
146;3;80
147;3;80
148;100;81
149;3;80
150;100;81
151;5;80
152;4;80
153;1;80
154;3;80
155;100;81
156;3;80
157;3;80
158;100;81
159;0;80
160;2;80
161;2;80
162;5;80
163;100;81
164;9;80
165;6;80
166;4;80
167;100;81
168;100;81
169;100;81
170;100;81
171;100;81
172;3;80
173;4;80
174;77;80
175;100;81
176;100;81
177;3;80
178;6;80
179;100;81
180;3;80
181;3;80
182;9;80
183;6;80
184;5;80
185;4;80
186;5;80
187;100;81
188;98;80
189;100;81
190;6;80
191;2;80
192;3;80
193;3;80
194;6;80
195;100;84
196;3;80
197;100;81
198;7;80
199;100;81
200;100;81
201;6;80
202;100;81
203;2;80
204;5;80
205;100;81
206;2;80
207;100;81
208;100;81
209;8;80
210;100;81
211;4;80
212;8;80
213;5;80
214;100;81
215;6;80
216;4;80
217;100;81
218;100;81
219;5;80
220;100;81
221;2;80
222;100;81
223;1;80
224;4;80
225;2;80
226;2;80
227;3;80
228;4;80
229;5;80
230;100;81
231;2;80
232;3;80
233;100;81
234;100;81
235;10;80
236;100;81
237;4;80
238;2;80
239;5;80
240;2;80
241;100;81
242;1;80
243;2;80
244;6;80
245;4;80
246;5;80
247;2;80
248;4;80
249;5;80
250;100;81
251;3;80
252;100;81
253;2;80
254;2;80
255;5;80
256;100;81
257;8;80
258;4;80
259;100;81
260;4;80
261;2;80
262;2;80
263;2;80
264;3;80
265;100;81
266;100;81
267;4;80
268;5;80
269;4;80
270;100;81
271;100;81
272;9;80
273;100;81
274;3;80
275;1;80
276;3;80
277;100;81
278;2;80
279;100;81
280;100;81
281;100;81
282;100;81
283;100;81
284;8;80
285;100;81
286;2;80
287;3;80
288;2;80
289;3;80
290;4;80
291;4;80
292;2;80
293;4;80
294;100;81
295;4;80
296;100;81
297;4;80
298;5;80
299;10;80
300;100;81
301;100;81
302;7;80
303;100;81
304;3;80
305;100;81
306;2;80
307;5;80
308;2;80
309;5;80
310;3;80
311;6;80
312;100;81
313;100;81
314;92;80
315;6;80
316;100;81
317;100;81
318;100;81
319;6;80
320;100;81
321;3;80
322;100;81
323;100;81
324;4;80
325;2;80
326;3;80
327;5;80
328;100;81
329;100;84
330;3;80
331;2;80
332;7;80
333;100;81
334;4;80
335;2;80
336;100;81
337;4;80
338;2;80
339;2;80
340;40;80
341;5;80
342;100;81
343;100;81
344;4;80
345;2;80
346;8;80
347;2;80
348;100;81
349;6;80
350;3;80
351;100;81
352;100;81
353;4;80
354;5;80
355;1;80
356;100;81
357;4;80
358;6;80
359;6;80
360;100;81
361;1;80
362;100;81
363;10;80
364;2;80
365;100;81
366;5;80
367;1;80
368;2;80
369;1;80
370;2;80
371;100;81
372;4;80
373;5;80
374;4;80
375;6;80
376;2;80
377;2;80
378;3;80
379;100;81
380;2;80
381;2;80
382;4;80
383;77;80
384;2;80
385;6;80
386;7;80
387;6;80
388;100;81
389;100;81
390;4;80
391;5;80
392;2;80
393;35;80
394;5;80
395;4;80
396;100;81
397;100;81
398;1;80
399;5;80
400;100;81
401;2;80
402;4;80
403;100;81
404;5;80
405;100;81
406;100;82
407;100;81
408;3;80
409;100;81
410;7;80
411;3;80
412;6;80
413;2;80
414;100;81
415;100;81
416;1;80
417;100;81
418;3;80
419;3;80
420;3;80
421;89;80
422;1;80
423;5;80
424;100;81
425;2;80
426;100;81
427;7;80
428;100;81
429;3;80
430;7;80
431;3;80
432;100;81
433;3;80
434;100;81
435;100;81
436;4;80
437;100;81
438;2;80
439;3;80
440;7;80
441;4;80
442;4;80
443;1;80
444;100;81
445;4;80
446;100;81
447;3;80
448;100;81
449;3;80
450;1;80
451;100;81
452;100;81
453;100;81
454;3;80
455;2;80
456;100;81
457;100;81
458;100;81
459;1;80
460;6;80
461;5;80
462;1;80
463;100;81
464;100;81
465;6;80
466;100;81
467;3;80
468;5;80
469;2;80
470;2;80
471;100;81
472;4;80
473;100;81
474;8;80
475;100;84
476;100;81
477;3;80
478;100;81
479;100;81
480;3;80
481;4;80
482;2;80
483;7;80
484;2;80
485;100;81
486;100;81
487;6;80
488;3;80
489;100;81
490;5;80
491;7;80
492;100;81
493;3;80
494;2;80
495;1;80
496;7;80
497;4;80
498;2;80
499;100;81
500;100;81
501;100;81
502;3;80
503;2;80
504;5;80
505;100;81
506;2;80
507;100;81
508;100;81
509;100;81
510;100;81
511;52;80
512;8;80
513;3;80
514;100;81
515;9;80
516;2;80
517;5;80
518;100;81
519;100;81
520;100;84
521;3;80
522;100;81
523;5;80
524;3;80
525;100;81
526;5;80
527;100;81
528;100;81
529;3;80
530;3;80
531;100;81
532;7;80
533;100;81
534;9;80
535;3;80
536;3;80
537;2;80
538;2;80
539;100;81
540;100;81
541;2;80
542;100;81
543;100;81
544;100;81
545;6;80
546;3;80
547;2;80
548;100;81
549;8;80
550;4;80
551;100;81
552;3;80
553;2;80
554;100;81
555;3;80
556;100;81
557;6;80
558;5;80
559;100;81
560;2;80
561;1;80
562;2;80
563;8;80
564;100;81
565;100;81
566;100;81
567;100;81
568;4;80
569;2;80
570;100;81
571;100;81
572;7;80
573;1;80
574;4;80
575;100;81
576;1;80
577;3;80
578;100;81
579;3;80
580;100;81
581;100;81
582;5;80
583;100;81
584;100;81
585;100;81
586;100;81
587;7;80
588;2;80
589;100;81
590;2;80
591;100;81
592;3;80
593;6;80
594;100;81
595;4;80
596;3;80
597;100;81
598;2;80
599;1;80
600;6;80
601;4;80
602;100;81
603;2;80
604;100;81
605;2;80
606;4;80
607;7;80
608;100;81
609;100;81
610;4;80
611;100;81
612;5;80
613;3;80
614;1;80
615;6;80
616;5;80
617;100;81
618;100;81
619;100;81
620;1;80
621;2;80
622;100;81
623;100;81
624;4;80
625;100;81
626;4;80
627;1;80
628;100;81
629;3;80
630;3;80
631;3;80
632;5;80
633;100;81
634;100;81
635;100;81
636;5;80
637;10;80
638;4;80
639;3;80
640;3;80
641;100;81
642;100;81
643;7;80
644;31;80
645;5;80
646;3;80
647;3;80
648;5;80
649;100;81
650;2;80
651;100;81
652;100;81
653;3;80
654;6;80
655;4;80
656;100;81
657;100;81
658;3;80
659;8;80
660;2;80
661;100;81
662;100;81
663;100;81
664;4;80
665;5;80
666;2;80
667;1;80
668;100;81
669;7;80
670;8;80
671;7;80
672;100;81
673;2;80
674;6;80
675;100;81
676;3;80
677;5;80
678;4;80
679;3;80
680;4;80
681;100;81
682;100;81
683;1;80
684;7;80
685;2;80
686;2;80
687;3;80
688;2;80
689;100;81
690;2;80
691;100;81
692;5;80
693;4;80
694;7;80
695;3;80
696;27;80
697;100;81
698;2;80
699;1;80
700;100;81
701;3;80
702;100;81
703;5;80
704;4;80
705;2;80
706;100;81
707;100;81
708;5;80
709;100;81
710;4;80
711;100;81
712;1;80
713;4;80
714;2;80
715;6;80
716;1;80
717;100;81
718;100;81
719;7;80
720;5;80
721;100;81
722;3;80
723;2;80
724;3;80
725;2;80
726;3;80
727;100;81
728;100;81
729;3;80
730;1;80
731;3;80
732;4;80
733;4;80
734;100;81
735;3;80
736;2;80
737;100;81
738;3;80
739;5;80
740;4;80
741;100;81
742;100;81
743;100;81
744;29;80
745;100;81
746;6;80
747;3;80
748;100;81
749;2;80
750;2;80
751;8;80
752;5;80
753;2;80
754;3;80
755;3;80
756;4;80
757;2;80
758;100;81
759;7;80
760;100;81
761;5;80
762;1;80
763;2;80
764;100;81
765;4;80
766;100;81
767;8;80
768;3;80
769;4;80
770;100;81
771;2;80
772;100;81
773;100;81
774;3;80
775;100;81
776;2;80
777;1;80
778;8;80
779;2;80
780;4;80
781;5;80
782;100;81
783;100;81
784;100;81
785;6;80
786;3;80
787;100;81
788;4;80
789;4;80
790;2;80
791;2;80
792;100;81
793;100;81
794;100;81
795;100;81
796;100;81
797;1;80
798;5;80
799;5;80
800;3;80
801;100;81
802;6;80
803;5;80
804;2;80
805;100;81
806;100;81
807;3;80
808;100;81
809;1;80
810;1;80
811;3;80
812;5;80
813;7;80
814;100;81
815;100;81
816;100;81
817;5;80
818;2;80
819;100;81
820;4;80
821;100;81
822;100;81
823;8;80
824;100;81
825;3;80
826;7;80
827;1;80
828;100;81
829;100;81
830;3;80
831;3;80
832;100;81
833;4;80
834;7;80
835;100;81
836;6;80
837;1;80
838;100;81
839;2;80
840;27;80
841;2;80
842;8;80
843;100;84
844;5;80
845;2;80
846;1;80
847;2;80
848;100;81
849;100;81
850;0;80
851;4;80
852;84;80
853;100;81
854;100;81
855;100;84
856;5;80
857;3;80
858;1;80
859;3;80
860;9;80
861;4;80
862;3;80
863;4;80
864;2;80
865;4;80
866;100;81
867;100;81
868;100;81
869;6;80
870;100;81
871;2;80
872;100;81
873;2;80
874;100;81
875;6;80
876;100;81
877;100;81
878;5;80
879;100;81
880;100;81
881;6;80
882;100;81
883;5;80
884;100;81
885;100;81
886;4;80
887;100;82
888;5;80
889;100;81
890;100;81
891;2;80
892;3;80
893;2;80
894;3;80
895;100;81
896;1;80
897;100;81
898;100;81
899;3;80
900;2;80
901;100;84
902;3;80
903;3;80
904;100;81
905;100;81
906;2;80
907;100;81
908;1;80
909;2;80
910;100;81
911;1;80
912;100;81
913;10;80
914;5;80
915;2;80
916;5;80
917;100;81
918;2;80
919;5;80
920;4;80
921;100;81
922;100;81
923;4;80
924;3;80
925;3;80
926;2;80
927;100;81
928;5;80
929;100;81
930;100;81
931;100;81
932;4;80
933;6;80
934;4;80
935;100;81
936;2;80
937;6;80
938;100;81
939;4;80
940;30;80
941;5;80
942;2;80
943;6;80
944;2;80
945;100;81
946;3;80
947;2;80
948;8;80
949;2;80
950;6;80
951;5;80
952;6;80
953;3;80
954;3;80
955;2;80
956;2;80
957;3;80
958;100;81
959;2;80
960;2;80
961;100;81
962;3;80
963;8;80
964;3;80
965;100;81
966;4;80
967;6;80
968;1;80
