Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;57;65;75;58;58
1;55;61;71;61;58
2;55;63;73;55;55
3;55;61;75;55;55
4;52;61;75;52;52
5;48;56;64;56;52
6;52;57;68;52;52
7;49;58;69;65;52
8;52;67;76;65;52
9;53;67;76;71;52
10;62;73;83;75;52
11;69;75;87;71;52
12;65;73;91;71;52
13;59;73;91;91;52
14;71;87;103;71;52
15;59;73;91;71;52
16;59;73;91;71;52
17;61;73;91;70;52
18;60;73;90;66;52
19;57;67;78;60;52
20;56;64;76;66;52
21;57;67;78;66;52
22;57;67;78;74;52
23;63;74;90;70;52
24;59;72;90;66;52
25;53;66;78;66;52
26;57;67;78;66;52
27;60;68;78;70;52
28;58;71;82;70;52
29;60;70;78;70;52
30;58;71;82;65;52
31;53;68;82;66;52
32;54;69;82;61;52
33;49;64;74;71;52
34;59;72;87;87;52
35;67;84;103;94;52
36;74;90;102;94;52
37;74;90;102;94;52
38;76;90;102;94;52
39;76;90;102;76;52
40;62;76;94;68;52
41;61;69;77;68;52
42;61;69;76;69;52
43;62;69;75;65;52
44;62;67;76;62;52
45;53;63;68;68;52
46;55;69;88;73;52
47;67;75;93;73;52
48;67;75;93;73;52
49;67;75;93;68;52
50;55;69;88;62;52
51;53;63;68;53;52
52;48;57;67;49;49
53;49;56;69;50;49
54;46;55;67;62;49
55;50;65;78;66;49
56;54;67;78;54;49
57;50;57;67;64;49
58;54;66;76;64;49
59;50;66;76;50;49
60;49;58;70;49;49
61;49;56;69;49;49
62;49;57;69;53;49
63;49;58;67;67;49
64;53;68;85;53;49
65;49;58;67;54;49
66;53;59;68;68;49
67;54;70;86;75;49
68;59;75;91;59;49
69;54;64;75;59;49
70;53;64;75;53;49
71;51;58;69;51;49
72;47;55;64;53;49
73;51;59;69;51;49
74;47;55;64;53;49
75;51;59;69;53;49
76;47;58;69;53;49
77;51;59;69;66;49
78;53;69;83;83;49
79;65;81;91;65;49
80;53;70;85;65;49
81;57;70;83;65;49
82;57;70;83;83;49
83;65;81;91;91;49
84;74;87;94;91;49
85;73;87;94;91;49
86;74;87;94;80;49
87;68;80;91;68;49
88;62;71;80;68;49
89;65;71;80;65;49
90;60;67;77;65;49
91;60;67;77;65;49
92;56;66;77;68;49
93;56;68;80;68;49
94;52;68;80;59;49
95;44;62;75;68;49
96;52;68;80;52;49
97;44;57;68;52;49
98;46;57;70;46;46
99;44;53;64;44;44
