Numer iteracji;Najlepszy;Sredni;Najgorszy
0;48;72;103
1;46;68;92
2;46;65;87
3;44;62;83
4;44;61;82
5;44;60;82
6;44;59;79
7;44;59;79
8;44;58;75
9;44;57;74
10;44;57;72
11;44;57;73
12;44;57;74
13;44;58;71
14;44;58;75
15;44;59;80
16;44;57;71
17;44;58;73
18;44;57;71
19;44;58;74
20;44;59;74
21;44;58;73
22;44;58;71
23;44;60;80
24;44;59;75
25;44;57;74
26;44;57;74
27;44;58;74
28;44;57;73
29;44;57;74
30;44;57;75
31;44;58;75
32;44;58;75
33;44;58;79
34;44;58;79
35;44;57;72
36;44;56;71
37;44;57;79
38;44;57;71
39;44;57;74
40;44;57;75
41;44;58;72
42;44;58;75
43;44;59;80
44;44;57;74
45;44;57;76
46;44;56;74
47;44;57;71
48;44;57;70
49;44;58;72
50;44;57;75
51;44;57;69
52;44;57;71
53;44;57;75
54;44;57;74
55;44;58;71
56;44;57;75
57;44;58;71
58;44;57;71
59;44;56;70
60;44;58;75
61;44;57;71
62;44;58;73
63;44;58;85
64;44;56;68
65;44;59;75
66;44;57;70
67;44;58;75
68;44;57;74
69;44;58;76
70;44;58;74
71;44;58;74
72;44;58;77
73;44;56;67
74;44;58;73
75;44;56;67
76;44;58;77
77;44;58;75
78;44;57;71
79;44;57;75
80;44;57;75
81;44;56;71
82;44;58;75
83;44;58;80
84;44;58;80
85;44;59;83
86;44;57;80
87;44;56;72
88;44;57;70
89;44;57;73
90;44;57;76
91;44;58;80
92;44;56;67
93;44;58;72
94;44;57;74
95;44;57;75
96;44;58;75
97;44;57;76
98;44;57;76
99;44;58;73
100;44;58;75
