Numer iteracji;Liczba iteracji;Wynik
0;100;47
1;8;44
2;100;49
3;100;47
4;41;44
5;100;47
6;3;44
7;100;47
8;38;44
9;100;47
10;100;47
11;12;44
12;28;44
13;15;44
14;37;44
15;100;47
16;100;47
17;24;44
18;100;47
19;7;44
20;11;44
21;7;44
22;28;44
23;100;47
24;100;53
25;14;44
26;100;47
27;65;44
28;100;47
29;88;44
30;100;47
31;100;47
32;100;53
33;100;47
34;100;47
35;100;47
36;100;53
37;11;44
38;25;44
39;100;47
40;13;44
41;100;47
42;100;47
43;3;44
44;86;44
45;100;47
46;100;47
47;84;44
48;100;47
49;79;44
50;25;44
51;100;47
52;100;47
53;100;47
54;35;44
55;43;44
56;9;44
57;100;47
58;8;44
59;7;44
60;100;53
61;100;47
62;100;47
63;100;53
64;11;44
65;100;47
66;40;44
67;100;47
68;7;44
69;100;47
70;100;47
71;100;53
72;100;47
73;100;47
74;100;47
75;100;47
76;100;47
77;60;44
78;100;47
79;100;47
80;100;47
81;100;53
82;100;47
83;100;53
84;100;47
85;100;47
86;43;44
87;100;47
88;100;47
89;15;44
90;100;47
91;100;49
92;20;44
93;100;47
94;100;47
95;100;53
96;100;53
97;25;44
98;25;44
99;100;47
100;100;47
101;100;53
102;100;47
103;10;44
104;100;47
105;100;47
106;100;47
107;100;47
108;52;44
109;100;47
110;11;44
111;100;47
112;77;44
113;23;44
114;9;44
115;100;47
116;23;44
117;100;47
118;20;44
119;100;49
120;100;47
121;100;49
122;100;53
123;100;53
124;52;44
125;100;47
126;100;47
127;100;47
128;100;47
129;100;47
130;100;47
131;11;44
132;9;44
133;16;44
134;100;47
135;100;47
136;100;47
137;100;47
138;62;44
139;100;47
140;51;44
141;100;47
142;100;49
143;100;47
144;8;44
145;35;44
146;55;44
147;100;47
148;17;44
149;100;47
150;100;47
151;100;47
152;100;53
153;33;44
154;18;44
155;35;44
156;23;44
157;100;47
158;72;44
159;22;44
160;100;47
161;71;44
162;17;44
163;100;47
164;100;47
165;100;53
166;100;47
167;100;47
168;100;53
169;100;47
170;22;44
171;100;47
172;100;47
173;49;44
174;73;44
175;27;44
176;100;53
177;100;49
178;100;47
179;22;44
180;39;44
181;100;47
182;100;47
183;9;44
184;100;47
185;29;44
186;100;47
187;100;47
188;49;44
189;100;47
190;100;49
191;23;44
192;100;47
193;100;47
194;19;44
195;100;47
196;67;44
197;28;44
198;37;44
199;100;47
200;8;44
201;100;47
202;100;47
203;100;47
204;100;53
205;19;44
206;100;47
207;25;44
208;100;47
209;100;47
210;100;47
211;100;48
212;100;47
213;5;44
214;100;47
215;23;44
216;100;47
217;100;47
218;53;44
219;61;44
220;100;47
221;19;44
222;100;53
223;100;47
224;100;47
225;100;47
226;100;47
227;100;47
228;100;47
229;71;44
230;100;47
231;11;44
232;100;49
233;10;44
234;13;44
235;100;47
236;100;47
237;44;44
238;37;44
239;100;47
240;100;47
241;49;44
242;100;53
243;20;44
244;100;47
245;100;47
246;100;53
247;94;44
248;100;47
249;100;47
250;5;44
251;100;47
252;84;44
253;35;44
254;100;47
255;23;44
256;100;47
257;100;47
258;16;44
259;100;47
260;100;47
261;100;47
262;100;47
263;100;47
264;100;53
265;7;44
266;10;44
267;28;44
268;100;47
269;100;53
270;100;53
271;100;47
272;100;47
273;16;44
274;19;44
275;45;44
276;69;44
277;100;47
278;100;47
279;52;44
280;100;47
281;100;47
282;100;47
283;90;44
284;25;44
285;15;44
286;100;47
287;100;47
288;100;47
289;100;54
290;36;44
291;100;47
292;100;47
293;5;44
294;100;47
295;100;47
296;100;47
297;100;47
298;3;44
299;100;54
300;48;44
301;100;47
302;100;47
303;100;47
304;100;53
305;41;44
306;100;47
307;13;44
308;100;47
309;100;53
310;53;44
311;100;47
312;27;44
313;100;47
314;34;44
315;11;44
316;7;44
317;100;47
318;100;47
319;100;53
320;100;47
321;100;47
322;100;47
323;15;44
324;17;44
325;100;47
326;100;47
327;47;44
328;8;44
329;100;47
330;79;44
331;100;47
332;100;50
333;100;47
334;8;44
335;95;44
336;18;44
337;42;44
338;15;44
339;100;47
340;100;47
341;100;47
342;27;44
343;85;44
344;100;47
345;100;54
346;100;47
347;100;47
348;100;47
349;18;44
350;100;47
351;100;47
352;100;47
353;6;44
354;100;47
355;100;47
356;100;47
357;100;47
358;100;47
359;100;47
360;53;44
361;36;44
362;100;47
363;8;44
364;100;54
365;30;44
366;100;47
367;100;47
368;15;44
369;20;44
370;100;53
371;100;47
372;8;44
373;27;44
374;100;47
375;10;44
376;7;44
377;100;47
378;79;44
379;69;44
380;100;47
381;44;44
382;100;47
383;100;53
384;25;44
385;100;47
386;100;47
387;100;47
388;19;44
389;100;47
390;100;47
391;100;47
392;26;44
393;100;53
394;100;47
395;100;49
396;24;44
397;15;44
398;100;47
399;100;47
400;69;44
401;100;49
402;100;47
403;13;44
404;100;47
405;100;47
406;100;53
407;100;54
408;13;44
409;14;44
410;52;44
411;100;47
412;100;47
413;8;44
414;60;44
415;100;47
416;3;44
417;100;47
418;100;47
419;100;47
420;100;47
421;11;44
422;100;47
423;100;47
424;100;47
425;100;53
426;100;47
427;100;47
428;47;44
429;7;44
430;100;53
431;100;47
432;13;44
433;100;49
434;9;44
435;100;47
436;100;47
437;100;53
438;100;47
439;100;47
440;100;47
441;100;47
442;100;47
443;100;47
444;32;44
445;63;44
446;100;53
447;50;44
448;100;53
449;12;44
450;83;44
451;100;53
452;10;44
453;22;44
454;100;49
455;100;49
456;100;47
457;10;44
458;7;44
459;100;47
460;100;54
461;100;47
462;100;47
463;24;44
464;100;47
465;100;49
466;26;44
467;46;44
468;100;47
469;100;47
470;100;47
471;100;47
472;100;47
473;100;47
474;100;47
475;57;44
476;100;46
477;100;47
478;100;47
479;4;44
480;100;47
481;100;47
482;8;44
483;33;44
484;100;47
485;80;44
486;100;47
487;4;44
488;100;47
489;100;47
490;100;47
491;100;47
492;24;44
493;13;44
494;100;52
495;95;44
496;24;44
497;28;44
498;51;44
499;100;47
500;100;47
501;100;47
502;100;47
503;59;44
504;100;47
505;16;44
506;100;47
507;23;44
508;45;44
509;52;44
510;100;54
511;100;49
512;100;47
513;13;44
514;100;53
515;100;47
516;100;47
517;100;47
518;100;47
519;100;47
520;100;51
521;23;44
522;100;53
523;47;44
524;100;47
525;28;44
526;17;44
527;100;47
528;84;44
529;23;44
530;14;44
531;100;53
532;100;47
533;10;44
534;92;44
535;42;44
536;100;47
537;100;47
538;100;47
539;20;44
540;15;44
541;100;47
542;100;47
543;100;53
544;90;44
545;22;44
546;100;47
547;52;44
548;100;47
549;100;47
550;100;47
551;35;44
552;100;47
553;100;47
554;100;47
555;4;44
556;33;44
557;100;47
558;16;44
559;100;53
560;100;47
561;100;47
562;100;47
563;100;47
564;11;44
565;28;44
566;100;47
567;100;53
568;100;47
569;9;44
570;100;47
571;59;44
572;11;44
573;44;44
574;100;47
575;8;44
576;27;44
577;39;44
578;100;47
579;13;44
580;18;44
581;100;47
582;70;44
583;25;44
584;100;46
585;100;47
586;100;47
587;100;47
588;100;54
589;100;47
590;100;53
591;15;44
592;100;47
593;100;47
594;100;47
595;22;44
596;100;53
597;100;47
598;89;44
599;100;53
600;100;47
601;100;47
602;100;47
603;100;53
604;100;47
605;100;47
606;100;47
607;100;47
608;100;47
609;100;47
610;100;47
611;100;47
612;100;53
613;100;47
614;100;47
615;100;47
616;100;47
617;4;44
618;10;44
619;72;44
620;32;44
621;100;47
622;12;44
623;100;47
624;100;47
625;100;47
626;100;47
627;100;53
628;100;47
629;100;47
630;29;44
631;31;44
632;29;44
633;100;47
634;100;47
635;91;44
636;24;44
637;6;44
638;40;44
639;10;44
640;100;47
641;15;44
642;100;49
643;100;53
644;100;47
645;100;47
646;100;47
647;100;47
648;6;44
649;100;53
650;100;47
651;28;44
652;5;44
653;6;44
654;100;47
655;100;47
656;39;44
657;100;53
658;100;47
659;10;44
660;38;44
661;100;47
662;100;47
663;21;44
664;100;47
665;15;44
666;100;53
667;100;47
668;100;47
669;14;44
670;100;47
671;100;47
672;100;53
673;27;44
674;100;47
675;100;47
676;10;44
677;8;44
678;100;47
679;11;44
680;100;47
681;100;47
682;100;47
683;100;53
684;90;44
685;10;44
686;100;47
687;100;47
688;100;47
689;100;47
690;100;47
691;12;44
692;100;47
693;11;44
694;6;44
695;100;47
696;100;49
697;11;44
698;14;44
699;45;44
700;100;53
701;100;47
702;18;44
703;12;44
704;100;47
705;4;44
706;100;46
707;100;47
708;6;44
709;100;47
710;100;47
711;19;44
712;100;47
713;100;47
714;11;44
715;92;44
716;24;44
717;100;47
718;6;44
719;100;53
720;100;47
721;34;44
722;100;47
723;100;47
724;100;47
725;100;49
726;100;47
727;100;46
728;100;47
729;100;53
730;100;49
731;28;44
732;10;44
733;28;44
734;100;47
735;33;44
736;100;47
737;100;47
738;100;47
739;100;47
740;100;53
741;18;44
742;100;47
743;18;44
744;19;44
745;100;47
746;8;44
747;20;44
748;100;47
749;24;44
750;9;44
751;42;44
752;100;47
753;100;47
754;46;44
755;100;49
756;100;47
757;94;44
758;100;47
759;100;47
760;100;54
761;100;47
762;100;47
763;21;44
764;6;44
765;42;44
766;21;44
767;12;44
768;100;47
769;26;44
770;8;44
771;100;47
772;100;47
773;100;47
774;54;44
775;100;52
776;100;47
777;100;47
778;22;44
779;15;44
780;100;47
781;100;47
782;5;44
783;82;44
784;100;53
785;100;47
786;100;53
787;12;44
788;85;44
789;100;47
790;100;47
791;100;47
792;16;44
793;100;47
794;6;44
795;17;44
796;6;44
797;56;44
798;100;53
799;91;44
800;12;44
801;100;47
802;3;44
803;100;47
804;100;47
805;100;47
806;90;44
807;100;47
808;17;44
809;100;47
810;15;44
811;26;44
812;22;44
813;100;47
814;100;47
815;5;44
816;100;54
817;100;53
818;29;44
819;100;47
820;86;44
821;63;44
822;100;54
823;100;47
824;100;53
825;100;49
826;51;44
827;100;47
828;18;44
829;22;44
830;100;47
831;100;47
832;35;44
833;100;47
834;100;47
835;40;44
836;100;47
837;100;47
838;100;47
839;100;47
840;100;47
841;100;47
842;100;47
843;100;47
844;100;53
845;100;47
846;45;44
847;15;44
848;100;47
849;100;53
850;21;44
851;100;47
852;100;47
853;8;44
854;14;44
855;100;47
856;57;44
857;100;53
858;21;44
859;100;47
860;5;44
861;42;44
862;100;47
863;6;44
864;100;47
865;100;47
866;100;49
867;91;44
868;77;44
869;10;44
870;100;47
871;100;47
872;100;47
873;21;44
874;18;44
875;100;47
876;44;44
877;16;44
878;7;44
879;77;44
880;100;47
881;100;47
882;100;47
883;100;47
884;100;47
885;100;53
886;37;44
887;100;53
888;100;47
889;7;44
890;18;44
891;100;47
892;27;44
893;8;44
894;8;44
895;100;47
896;100;47
897;13;44
898;15;44
899;34;44
900;7;44
901;100;53
902;100;49
903;100;47
904;29;44
905;100;47
906;8;44
907;6;44
908;32;44
909;100;47
910;7;44
911;100;53
912;100;47
913;100;47
914;15;44
915;53;44
916;100;47
917;100;47
918;100;47
919;30;44
920;100;47
921;14;44
922;100;47
923;6;44
924;100;47
925;100;47
926;13;44
927;100;47
928;45;44
929;100;47
930;100;53
931;18;44
932;100;47
933;18;44
934;100;47
935;4;44
936;100;53
937;100;53
938;100;47
939;100;47
940;100;47
941;36;44
942;86;44
943;100;47
944;100;47
945;10;44
946;9;44
947;100;47
948;100;46
949;100;47
950;21;44
951;23;44
952;100;47
953;100;47
954;100;47
955;100;53
956;100;47
957;100;47
958;13;44
959;51;44
960;100;47
961;100;53
962;100;47
963;28;44
964;100;47
965;100;47
966;39;44
967;41;44
968;100;47
969;100;47
970;8;44
971;100;47
972;11;44
973;100;47
974;100;47
975;100;47
976;100;47
977;31;44
978;36;44
979;10;44
980;100;53
981;100;47
982;100;47
983;100;47
984;71;44
985;41;44
986;100;47
987;40;44
988;100;47
989;24;44
990;38;44
991;100;47
992;100;47
993;15;44
994;100;49
995;100;47
996;8;44
997;100;47
998;12;44
999;14;44
