Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;0
1;0
2;1
3;5
4;11
5;20
6;11
7;18
8;15
9;18
10;10
11;8
12;4
13;9
14;8
15;2
16;10
17;3
18;2
19;5
20;2
21;8
22;7
23;3
24;1
25;8
26;2
27;1
28;4
29;1
30;2
31;3
32;4
33;3
34;1
35;1
36;4
37;3
38;2
39;0
40;1
41;1
42;2
43;2
44;2
45;1
46;1
47;4
48;2
49;3
50;3
51;1
52;1
53;1
54;2
55;0
56;0
57;3
58;0
59;2
60;2
61;0
62;1
63;1
64;2
65;1
66;0
67;0
68;0
69;2
70;1
71;1
72;0
73;0
74;0
75;1
76;2
77;3
78;0
79;1
80;0
81;0
82;1
83;0
84;0
85;1
86;1
87;0
88;1
89;0
90;1
91;1
92;0
93;0
94;1
95;1
96;0
97;2
98;0
99;1
