Numer iteracji;Najlepszy;Wybrany;Ogolnie najlepszy
0;10;11;11
1;9;11;11
2;10;11;11
3;9;12;11
4;10;11;11
5;10;10;10
6;10;10;10
7;9;10;10
8;10;10;10
9;9;10;10
10;9;11;10
11;10;10;10
12;9;9;9
13;9;9;9
14;9;10;9
15;9;11;9
16;10;12;9
17;11;13;9
18;12;12;9
19;11;11;9
20;10;10;9
21;9;9;9
22;9;10;9
23;9;11;9
24;10;10;9
25;9;9;9
26;9;10;9
27;9;9;9
28;9;9;9
29;9;10;9
30;9;9;9
31;9;10;9
32;9;9;9
33;9;10;9
34;9;11;9
35;10;10;9
36;9;11;9
37;10;10;9
38;9;11;9
39;9;10;9
40;9;11;9
41;9;10;9
42;9;9;9
43;9;10;9
44;9;11;9
45;10;11;9
46;10;12;9
47;11;11;9
48;10;10;9
49;9;9;9
50;9;9;9
51;9;9;9
52;9;9;9
53;9;9;9
54;9;10;9
55;9;12;9
56;10;10;9
57;9;11;9
58;10;12;9
59;11;11;9
60;10;12;9
61;11;11;9
62;10;10;9
63;9;9;9
64;9;10;9
65;9;9;9
66;9;10;9
67;9;9;9
68;9;9;9
69;9;10;9
70;9;11;9
71;10;12;9
72;11;13;9
73;12;12;9
74;11;13;9
75;12;12;9
76;11;13;9
77;12;13;9
78;11;12;9
79;10;11;9
80;10;12;9
81;11;13;9
82;12;14;9
83;13;13;9
84;12;12;9
85;11;11;9
86;10;11;9
87;10;10;9
88;9;9;9
89;9;9;9
90;9;9;9
91;9;9;9
92;9;9;9
93;9;10;9
94;9;11;9
95;10;10;9
96;9;11;9
97;10;10;9
98;9;11;9
99;10;10;9
