Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;10;11;12;12;11
1;11;12;13;11;11
2;10;11;12;12;11
3;11;12;13;11;11
4;10;11;12;10;10
5;9;10;11;11;10
6;10;11;12;12;10
7;11;12;13;13;10
8;12;12;14;13;10
9;12;13;14;12;10
10;11;12;13;11;10
11;10;11;12;11;10
12;10;11;12;12;10
13;11;12;13;11;10
14;10;11;13;12;10
15;11;11;13;11;10
16;10;10;12;10;10
17;9;10;11;9;9
18;9;10;10;10;9
19;9;10;11;11;9
20;10;11;12;10;9
21;9;10;11;9;9
22;9;10;10;10;9
23;9;10;11;10;9
24;9;10;11;11;9
25;10;11;12;10;9
26;9;10;11;11;9
27;10;10;12;10;9
28;9;10;11;10;9
29;9;10;11;11;9
30;10;10;12;10;9
31;9;10;12;9;9
32;9;10;11;9;9
33;9;10;10;10;9
34;9;10;11;9;9
35;9;10;10;10;9
36;9;10;11;9;9
37;9;10;11;10;9
38;9;10;12;11;9
39;10;11;12;10;9
40;10;10;11;11;9
41;10;11;12;10;9
42;10;10;11;10;9
43;9;10;11;10;9
44;9;10;12;11;9
45;10;11;12;11;9
46;10;11;12;10;9
47;9;10;11;9;9
48;9;10;10;10;9
49;9;10;11;9;9
50;9;10;10;10;9
51;9;10;11;9;9
52;9;10;10;10;9
53;9;10;11;11;9
54;9;11;12;9;9
55;9;10;11;11;9
56;9;11;12;12;9
57;10;12;13;11;9
58;9;11;12;10;9
59;9;11;11;11;9
60;9;11;12;10;9
61;9;11;11;11;9
62;9;11;12;12;9
63;10;11;13;13;9
64;11;12;14;12;9
65;10;11;13;13;9
66;11;12;14;11;9
67;10;11;13;10;9
68;9;10;12;9;9
69;9;10;11;9;9
70;9;9;10;10;9
71;9;10;11;9;9
72;9;10;10;9;9
73;9;10;11;10;9
74;9;10;11;10;9
75;9;10;11;11;9
76;9;11;12;11;9
77;9;11;12;10;9
78;9;11;11;9;9
79;9;10;10;10;9
80;9;10;11;11;9
81;10;11;12;10;9
82;9;10;11;11;9
83;9;11;12;11;9
84;9;11;12;10;9
85;10;10;11;11;9
86;10;11;12;10;9
87;10;10;11;10;9
88;9;10;11;11;9
89;10;11;12;10;9
90;9;10;11;10;9
91;10;10;11;10;9
92;9;10;11;9;9
93;9;10;10;9;9
94;9;10;10;9;9
95;9;10;11;9;9
96;9;9;10;9;9
97;9;10;11;10;9
98;9;10;11;9;9
99;9;10;10;10;9
