Numer iteracji;Najlepszy;Sredni;Najgorszy
0;9;12;15
1;9;12;14
2;9;12;14
3;9;12;14
4;9;12;15
5;9;11;13
6;9;11;13
7;9;12;14
8;9;11;13
9;9;11;12
10;9;11;13
11;9;11;12
12;9;11;12
13;9;11;13
14;9;11;13
15;9;11;13
16;9;11;13
17;9;11;13
18;9;11;12
19;9;11;12
20;9;11;12
21;9;11;12
22;9;11;12
23;9;11;13
24;9;11;13
25;9;11;13
26;9;11;13
27;9;11;12
28;9;11;12
29;9;11;12
30;9;11;12
31;9;11;13
32;9;11;13
33;9;11;13
34;9;11;13
35;9;11;12
36;9;11;12
37;9;11;13
38;9;11;12
39;9;11;12
40;9;11;12
41;9;11;13
42;9;11;12
43;9;12;14
44;9;11;12
45;9;11;13
46;9;11;12
47;9;11;13
48;9;11;12
49;9;11;12
50;9;11;12
51;9;11;13
52;9;11;13
53;9;11;12
54;9;11;13
55;9;11;12
56;9;11;12
57;9;11;12
58;9;11;12
59;9;11;13
60;9;11;12
61;9;11;13
62;9;11;12
63;9;11;12
64;9;11;13
65;9;11;12
66;9;11;12
67;9;11;12
68;9;11;12
69;9;11;12
70;9;11;13
71;9;11;12
72;9;11;13
73;9;11;12
74;9;11;12
75;9;11;13
76;9;11;13
77;9;11;14
78;9;11;13
79;9;11;12
80;9;11;12
81;9;11;12
82;9;11;12
83;9;11;12
84;9;11;13
85;9;11;13
86;9;11;12
87;9;11;12
88;9;11;13
89;9;11;13
90;9;11;12
91;9;11;13
92;9;11;13
93;9;11;13
94;9;11;12
95;9;11;13
96;9;11;12
97;9;11;12
98;9;11;12
99;9;11;12
100;9;11;12
