Numer iteracji;Liczba iteracji;Wynik
0;0;9
1;3;9
2;1;9
3;7;9
4;1;9
5;0;9
6;2;9
7;1;9
8;2;9
9;5;9
10;0;9
11;1;9
12;1;9
13;0;9
14;3;9
15;2;9
16;4;9
17;3;9
18;7;9
19;3;9
20;4;9
21;1;9
22;0;9
23;0;9
24;2;9
25;1;9
26;0;9
27;3;9
28;1;9
29;2;9
30;3;9
31;3;9
32;3;9
33;0;9
34;8;9
35;0;9
36;3;9
37;0;9
38;0;9
39;1;9
40;1;9
41;1;9
42;2;9
43;0;9
44;1;9
45;3;9
46;4;9
47;1;9
48;1;9
49;2;9
50;1;9
51;0;9
52;1;9
53;0;9
54;0;9
55;9;9
56;2;9
57;1;9
58;1;9
59;1;9
60;3;9
61;0;9
62;0;9
63;8;9
64;2;9
65;2;9
66;0;9
67;0;9
68;1;9
69;2;9
70;4;9
71;2;9
72;1;9
73;3;9
74;1;9
75;1;9
76;0;9
77;1;9
78;3;9
79;3;9
80;1;9
81;2;9
82;2;9
83;0;9
84;1;9
85;2;9
86;9;9
87;9;9
88;0;9
89;1;9
90;1;9
91;1;9
92;3;9
93;3;9
94;1;9
95;3;9
96;2;9
97;1;9
98;2;9
99;0;9
100;8;9
101;0;9
102;2;9
103;2;9
104;2;9
105;3;9
106;0;9
107;1;9
108;1;9
109;3;9
110;3;9
111;0;9
112;1;9
113;1;9
114;0;9
115;2;9
116;1;9
117;0;9
118;1;9
119;2;9
120;0;9
121;2;9
122;3;9
123;2;9
124;6;9
125;3;9
126;0;9
127;1;9
128;3;9
129;1;9
130;2;9
131;2;9
132;8;9
133;0;9
134;3;9
135;0;9
136;0;9
137;1;9
138;1;9
139;2;9
140;5;9
141;1;9
142;2;9
143;1;9
144;0;9
145;3;9
146;0;9
147;3;9
148;5;9
149;3;9
150;3;9
151;0;9
152;1;9
153;0;9
154;1;9
155;2;9
156;0;9
157;7;9
158;1;9
159;0;9
160;4;9
161;3;9
162;1;9
163;3;9
164;0;9
165;0;9
166;7;9
167;3;9
168;1;9
169;4;9
170;2;9
171;2;9
172;1;9
173;7;9
174;0;9
175;0;9
176;5;9
177;1;9
178;0;9
179;6;9
180;2;9
181;1;9
182;2;9
183;6;9
184;1;9
185;4;9
186;3;9
187;4;9
188;2;9
189;5;9
190;0;9
191;0;9
192;3;9
193;2;9
194;2;9
195;0;9
196;10;9
197;1;9
198;0;9
199;3;9
200;2;9
201;3;9
202;3;9
203;1;9
204;2;9
205;0;9
206;1;9
207;3;9
208;1;9
209;1;9
210;4;9
211;5;9
212;2;9
213;3;9
214;2;9
215;2;9
216;1;9
217;1;9
218;3;9
219;5;9
220;5;9
221;4;9
222;1;9
223;0;9
224;1;9
225;5;9
226;3;9
227;5;9
228;1;9
229;0;9
230;3;9
231;2;9
232;3;9
233;3;9
234;4;9
235;2;9
236;0;9
237;2;9
238;2;9
239;2;9
240;1;9
241;0;9
242;0;9
243;0;9
244;4;9
245;5;9
246;6;9
247;1;9
248;0;9
249;3;9
250;1;9
251;0;9
252;5;9
253;2;9
254;3;9
255;2;9
256;0;9
257;1;9
258;2;9
259;2;9
260;2;9
261;4;9
262;3;9
263;3;9
264;0;9
265;0;9
266;7;9
267;1;9
268;1;9
269;0;9
270;2;9
271;6;9
272;2;9
273;3;9
274;3;9
275;2;9
276;4;9
277;5;9
278;3;9
279;4;9
280;2;9
281;2;9
282;2;9
283;4;9
284;0;9
285;0;9
286;1;9
287;3;9
288;2;9
289;1;9
290;0;9
291;3;9
292;0;9
293;4;9
294;3;9
295;0;9
296;3;9
297;4;9
298;2;9
299;0;9
300;2;9
301;1;9
302;1;9
303;0;9
304;2;9
305;3;9
306;0;9
307;2;9
308;1;9
309;2;9
310;0;9
311;1;9
312;3;9
313;4;9
314;3;9
315;6;9
316;0;9
317;1;9
318;1;9
319;1;9
320;2;9
321;0;9
322;1;9
323;8;9
324;3;9
325;0;9
326;1;9
327;0;9
328;3;9
329;1;9
330;4;9
331;3;9
332;1;9
333;0;9
334;0;9
335;1;9
336;3;9
337;1;9
338;0;9
339;4;9
340;2;9
341;1;9
342;2;9
343;2;9
344;1;9
345;6;9
346;1;9
347;1;9
348;1;9
349;1;9
350;2;9
351;3;9
352;0;9
353;3;9
354;0;9
355;1;9
356;1;9
357;1;9
358;1;9
359;2;9
360;3;9
361;0;9
362;2;9
363;0;9
364;3;9
365;2;9
366;1;9
367;1;9
368;0;9
369;1;9
370;2;9
371;4;9
372;3;9
373;1;9
374;3;9
375;0;9
376;3;9
377;4;9
378;2;9
379;0;9
380;3;9
381;1;9
382;0;9
383;1;9
384;4;9
385;1;9
386;3;9
387;0;9
388;1;9
389;0;9
390;2;9
391;0;9
392;6;9
393;0;9
394;1;9
395;0;9
396;1;9
397;0;9
398;1;9
399;0;9
400;3;9
401;0;9
402;3;9
403;2;9
404;1;9
405;2;9
406;0;9
407;1;9
408;1;9
409;1;9
410;1;9
411;1;9
412;0;9
413;0;9
414;2;9
415;3;9
416;1;9
417;0;9
418;6;9
419;1;9
420;1;9
421;3;9
422;1;9
423;0;9
424;2;9
425;2;9
426;1;9
427;5;9
428;2;9
429;1;9
430;2;9
431;0;9
432;3;9
433;2;9
434;2;9
435;5;9
436;2;9
437;3;9
438;4;9
439;4;9
440;1;9
441;2;9
442;2;9
443;1;9
444;3;9
445;3;9
446;1;9
447;0;9
448;1;9
449;3;9
450;3;9
451;5;9
452;3;9
453;6;9
454;3;9
455;7;9
456;2;9
457;0;9
458;4;9
459;1;9
460;2;9
461;0;9
462;0;9
463;1;9
464;3;9
465;0;9
466;2;9
467;3;9
468;6;9
469;2;9
470;2;9
471;1;9
472;4;9
473;1;9
474;1;9
475;1;9
476;1;9
477;1;9
478;3;9
479;0;9
480;1;9
481;2;9
482;1;9
483;4;9
484;2;9
485;3;9
486;1;9
487;3;9
488;2;9
489;1;9
490;1;9
491;9;9
492;6;9
493;0;9
494;1;9
495;3;9
496;1;9
497;1;9
498;2;9
499;1;9
500;3;9
501;0;9
502;2;9
503;0;9
504;4;9
505;2;9
506;0;9
507;4;9
508;1;9
509;2;9
510;0;9
511;0;9
512;7;9
513;1;9
514;0;9
515;0;9
516;7;9
517;1;9
518;6;9
519;3;9
520;2;9
521;1;9
522;0;9
523;2;9
524;3;9
525;5;9
526;0;9
527;4;9
528;1;9
529;1;9
530;4;9
531;2;9
532;2;9
533;2;9
534;0;9
535;6;9
536;1;9
537;5;9
538;2;9
539;1;9
540;1;9
541;0;9
542;1;9
543;0;9
544;0;9
545;0;9
546;1;9
547;3;9
548;2;9
549;1;9
550;1;9
551;6;9
552;0;9
553;3;9
554;0;9
555;1;9
556;1;9
557;0;9
558;3;9
559;2;9
560;4;9
561;4;9
562;3;9
563;7;9
564;2;9
565;0;9
566;4;9
567;1;9
568;2;9
569;1;9
570;2;9
571;0;9
572;2;9
573;1;9
574;2;9
575;0;9
576;4;9
577;5;9
578;0;9
579;2;9
580;1;9
581;0;9
582;0;9
583;1;9
584;3;9
585;3;9
586;1;9
587;1;9
588;1;9
589;0;9
590;0;9
591;3;9
592;1;9
593;2;9
594;2;9
595;1;9
596;6;9
597;3;9
598;7;9
599;1;9
600;4;9
601;1;9
602;3;9
603;2;9
604;3;9
605;3;9
606;1;9
607;0;9
608;4;9
609;1;9
610;2;9
611;2;9
612;1;9
613;4;9
614;2;9
615;1;9
616;2;9
617;0;9
618;3;9
619;2;9
620;0;9
621;3;9
622;3;9
623;6;9
624;3;9
625;4;9
626;0;9
627;3;9
628;2;9
629;2;9
630;5;9
631;0;9
632;3;9
633;2;9
634;0;9
635;2;9
636;3;9
637;3;9
638;0;9
639;2;9
640;1;9
641;1;9
642;8;9
643;2;9
644;4;9
645;0;9
646;0;9
647;2;9
648;2;9
649;0;9
650;0;9
651;0;9
652;3;9
653;1;9
654;2;9
655;3;9
656;1;9
657;1;9
658;3;9
659;1;9
660;5;9
661;1;9
662;1;9
663;2;9
664;1;9
665;1;9
666;1;9
667;2;9
668;1;9
669;3;9
670;3;9
671;1;9
672;1;9
673;0;9
674;0;9
675;4;9
676;0;9
677;0;9
678;0;9
679;0;9
680;3;9
681;2;9
682;7;9
683;9;9
684;10;9
685;10;9
686;0;9
687;1;9
688;10;9
689;1;9
690;3;9
691;2;9
692;3;9
693;2;9
694;3;9
695;0;9
696;0;9
697;0;9
698;3;9
699;1;9
700;9;9
701;4;9
702;5;9
703;1;9
704;2;9
705;3;9
706;3;9
707;0;9
708;2;9
709;3;9
710;6;9
711;5;9
712;0;9
713;1;9
714;2;9
715;1;9
716;3;9
717;1;9
718;5;9
