Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;10;11;12;10;10
1;9;10;11;11;10
2;10;11;12;12;10
3;11;12;13;11;10
4;10;11;12;10;10
5;9;10;11;11;10
6;10;11;12;10;10
7;9;10;12;11;10
8;10;11;12;10;10
9;9;10;11;11;10
10;10;11;12;11;10
11;9;10;12;11;10
12;10;11;12;12;10
13;11;11;12;11;10
14;10;11;12;11;10
15;10;11;12;10;10
16;9;10;11;9;9
17;9;10;11;9;9
18;9;9;10;9;9
19;9;10;11;9;9
20;9;10;10;9;9
21;9;10;10;10;9
22;9;10;11;11;9
23;10;11;12;10;9
24;9;10;11;9;9
25;9;10;11;10;9
26;9;10;12;9;9
27;9;10;11;10;9
28;9;10;12;9;9
29;9;10;11;10;9
30;9;10;12;9;9
31;9;10;11;9;9
32;9;9;10;9;9
33;9;10;11;10;9
34;9;10;11;11;9
35;10;11;12;12;9
36;11;12;13;11;9
37;10;11;12;12;9
38;11;12;13;11;9
39;10;11;12;12;9
40;11;12;13;11;9
41;10;11;12;10;9
42;9;10;12;9;9
43;9;10;11;9;9
44;9;9;10;10;9
45;9;10;11;11;9
46;10;11;12;10;9
47;9;10;11;11;9
48;10;11;12;12;9
49;11;12;13;11;9
50;10;11;12;10;9
51;9;10;11;9;9
52;9;10;12;10;9
53;9;10;11;11;9
54;9;10;12;10;9
55;9;10;11;10;9
56;9;10;11;9;9
57;9;10;10;10;9
58;9;10;11;11;9
59;10;11;12;12;9
60;11;11;13;11;9
61;10;11;12;10;9
62;9;10;11;11;9
63;10;10;12;12;9
64;11;11;13;11;9
65;10;11;12;10;9
66;9;10;11;10;9
67;9;10;11;11;9
68;10;11;12;10;9
69;9;10;11;10;9
70;9;10;11;11;9
71;10;11;12;10;9
72;9;10;11;11;9
73;10;11;12;10;9
74;9;10;11;10;9
75;9;10;11;9;9
76;10;10;10;10;9
77;9;10;11;9;9
78;9;10;11;9;9
79;9;10;11;10;9
80;9;10;11;9;9
81;9;10;10;9;9
82;9;10;12;12;9
83;9;11;13;11;9
84;10;11;12;10;9
85;9;10;11;9;9
86;9;10;10;10;9
87;9;10;11;9;9
88;9;10;10;9;9
89;9;10;11;10;9
90;9;10;12;12;9
91;10;11;13;11;9
92;9;11;12;10;9
93;9;11;11;11;9
94;10;11;12;10;9
95;9;11;11;11;9
96;9;11;12;10;9
97;9;11;11;11;9
98;9;11;12;10;9
99;9;11;11;9;9
