Numer iteracji;Liczba iteracji;Wynik
0;2;9
1;3;9
2;2;9
3;1;9
4;1;9
5;3;9
6;0;9
7;3;9
8;2;9
9;0;9
10;1;9
11;2;9
12;0;9
13;3;9
14;1;9
15;1;9
16;1;9
17;1;9
18;2;9
19;4;9
20;2;9
21;2;9
22;2;9
23;2;9
24;5;9
25;4;9
26;0;9
27;2;9
28;2;9
29;2;9
30;0;9
31;1;9
32;2;9
33;1;9
34;0;9
35;2;9
36;0;9
37;3;9
38;2;9
39;1;9
40;2;9
41;3;9
42;1;9
43;1;9
44;1;9
45;1;9
46;2;9
47;4;9
48;1;9
49;1;9
50;3;9
51;0;9
52;3;9
53;4;9
54;3;9
55;1;9
56;2;9
57;1;9
58;1;9
59;2;9
60;0;9
61;1;9
62;2;9
63;0;9
64;4;9
65;0;9
66;3;9
67;0;9
68;3;9
69;0;9
70;3;9
71;1;9
72;3;9
73;0;9
74;0;9
75;2;9
76;2;9
77;1;9
78;4;9
79;2;9
80;2;9
81;3;9
82;4;9
83;0;9
84;0;9
85;2;9
86;0;9
87;1;9
88;1;9
89;2;9
90;0;9
91;0;9
92;2;9
93;1;9
94;0;9
95;2;9
96;1;9
97;0;9
98;1;9
99;0;9
100;0;9
101;1;9
102;2;9
103;1;9
104;1;9
105;2;9
106;1;9
107;0;9
108;3;9
109;3;9
110;1;9
111;1;9
112;2;9
113;1;9
114;2;9
115;1;9
116;2;9
117;4;9
118;2;9
119;3;9
120;4;9
121;1;9
122;2;9
123;1;9
124;1;9
125;0;9
126;1;9
127;4;9
128;1;9
129;2;9
130;0;9
131;1;9
132;1;9
133;1;9
134;1;9
135;4;9
136;2;9
137;0;9
138;1;9
139;1;9
140;1;9
141;4;9
142;2;9
143;1;9
144;1;9
145;0;9
146;1;9
147;2;9
148;1;9
149;3;9
150;1;9
151;1;9
152;1;9
153;1;9
154;3;9
155;2;9
156;2;9
157;2;9
158;1;9
159;1;9
160;0;9
161;1;9
162;2;9
163;1;9
164;1;9
165;1;9
166;2;9
167;1;9
168;1;9
169;1;9
170;2;9
171;1;9
172;3;9
173;1;9
174;0;9
175;4;9
176;1;9
177;3;9
178;1;9
179;1;9
180;1;9
181;2;9
182;0;9
183;2;9
184;3;9
185;1;9
186;0;9
187;1;9
188;0;9
189;0;9
190;1;9
191;0;9
192;0;9
193;1;9
194;1;9
195;5;9
196;0;9
197;1;9
198;2;9
199;1;9
200;1;9
201;1;9
202;0;9
203;4;9
204;2;9
205;1;9
206;2;9
207;4;9
208;1;9
209;0;9
210;3;9
211;3;9
212;0;9
213;2;9
214;1;9
215;2;9
216;2;9
217;0;9
218;0;9
219;1;9
220;1;9
221;4;9
222;1;9
223;3;9
224;0;9
225;1;9
226;1;9
227;0;9
228;2;9
229;1;9
230;3;9
231;2;9
232;1;9
233;1;9
234;2;9
235;0;9
236;0;9
237;2;9
238;2;9
239;0;9
240;0;9
241;5;9
242;2;9
243;1;9
244;2;9
245;1;9
246;3;9
247;1;9
248;2;9
249;0;9
250;3;9
251;1;9
252;0;9
253;0;9
254;0;9
255;3;9
256;2;9
257;1;9
258;2;9
259;2;9
260;0;9
261;2;9
262;2;9
263;2;9
264;1;9
265;0;9
266;0;9
267;3;9
268;0;9
269;0;9
270;0;9
271;3;9
272;2;9
273;0;9
274;2;9
275;0;9
276;2;9
277;4;9
278;1;9
279;1;9
280;0;9
281;1;9
282;0;9
283;3;9
284;1;9
285;3;9
286;1;9
287;3;9
288;1;9
289;1;9
290;2;9
291;1;9
292;1;9
293;0;9
294;0;9
295;1;9
296;3;9
297;0;9
298;2;9
299;1;9
300;2;9
301;1;9
302;2;9
303;1;9
304;1;9
305;2;9
306;2;9
307;2;9
308;0;9
309;0;9
310;5;9
311;0;9
312;0;9
313;2;9
314;1;9
315;3;9
316;1;9
317;1;9
318;1;9
319;1;9
320;1;9
321;2;9
322;1;9
323;1;9
324;0;9
325;2;9
326;3;9
327;1;9
328;3;9
329;2;9
330;2;9
331;1;9
332;3;9
333;0;9
334;2;9
335;3;9
336;0;9
337;0;9
338;0;9
339;2;9
340;2;9
341;1;9
342;1;9
343;1;9
344;0;9
345;1;9
346;1;9
347;3;9
348;1;9
349;0;9
350;2;9
351;1;9
352;2;9
353;2;9
354;1;9
355;4;9
356;1;9
357;1;9
358;0;9
359;0;9
360;3;9
361;2;9
362;2;9
363;3;9
364;1;9
365;3;9
