Numer iteracji;Najlepszy;Sredni;Najgorszy
0;9;12;15
1;9;12;14
2;9;11;13
3;9;11;12
4;9;10;11
5;9;10;10
6;9;10;10
7;9;10;10
8;9;10;10
9;9;10;10
10;9;10;10
11;9;10;10
12;9;10;10
13;9;10;10
14;9;10;10
15;9;10;10
16;9;10;10
17;9;10;10
18;9;10;10
19;9;10;10
20;9;10;10
21;9;10;10
22;9;10;10
23;9;10;10
24;9;10;10
25;9;10;10
26;9;10;10
27;9;10;10
28;9;10;10
29;9;10;10
30;9;10;10
31;9;10;10
32;9;10;10
33;9;10;10
34;9;10;10
35;9;10;10
36;9;10;10
37;9;10;10
38;9;10;10
39;9;10;10
40;9;10;10
41;9;10;10
42;9;10;10
43;9;10;10
44;9;10;10
45;9;10;10
46;9;10;10
47;9;10;10
48;9;10;10
49;9;10;10
50;9;10;10
51;9;10;10
52;9;10;10
53;9;10;10
54;9;10;10
55;9;10;10
56;9;10;10
57;9;10;10
58;9;10;10
59;9;10;10
60;9;10;10
61;9;10;10
62;9;10;10
63;9;10;10
64;9;10;10
65;9;10;10
66;9;10;10
67;9;10;10
68;9;10;10
69;9;10;10
70;9;10;10
71;9;10;10
72;9;10;10
73;9;10;10
74;9;10;10
75;9;10;10
76;9;10;10
77;9;10;10
78;9;10;10
79;9;10;10
80;9;10;10
81;9;10;10
82;9;10;10
83;9;10;10
84;9;10;10
85;9;10;10
86;9;10;10
87;9;10;10
88;9;10;10
89;9;10;10
90;9;10;10
91;9;10;10
92;9;10;10
93;9;10;10
94;9;10;10
95;9;10;10
96;9;10;10
97;9;10;10
98;9;10;10
99;9;10;10
100;9;10;10
