parametr prawdopodobienstwa;srednia;wariancja;min;dolny kwartyl;mediana;gorny kwartyl;max;moda;moda procent;procent poprawnych
0.1;4,114;21,388;0;1;3;6;34;0;21;100
0.2;3,073;11,363;0;1;2;5;22;0;22;100
0.5;2,152;3,781;0;1;2;3;16;1;27,8;100
0.8;1,642;2,03;0;1;1;2;8;1;33,4;100
1.0;1,673;1,744;0;1;1;2;8;1;33,8;100
1.5;1,443;1,43;0;1;1;2;6;1;36,3;100
2.0;1,433;1,209;0;1;1;2;5;1;35,4;100
5.0;1,418;1,192;0;1;1;2;6;1;41,8;100
8.0;1,394;1,138;0;1;1;2;6;1;38;100
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
?;œrednia;wariancja;min;Q1;mediana;Q3;max;moda;moda (%);najlepsze (%)
0.1;4,114;21,388;0;1;3;6;34;0;21;100
0.2;3,073;11,363;0;1;2;5;22;0;22;100
0.5;2,152;3,781;0;1;2;3;16;1;27,8;100
0.8;1,642;2,03;0;1;1;2;8;1;33,4;100
1.0;1,673;1,744;0;1;1;2;8;1;33,8;100
1.5;1,443;1,43;0;1;1;2;6;1;36,3;100
2.0;1,433;1,209;0;1;1;2;5;1;35,4;100
5.0;1,418;1,192;0;1;1;2;6;1;41,8;100
8.0;1,394;1,138;0;1;1;2;6;1;38;100
